HARINA CHIA,Taza,1/2,85,1,170,2,340,HARINA CHIA,1/2 Taza,1 Taza,2 Taza,85,170,340
ARVEJAS CRUDAS,Taza,1/2,50,1,125,2,250,ARVEJAS CRUDAS,1/2 Taza,1 Taza,2 Taza,50,125,250
ARVEJAS CONGELADAS COCIDAS,Taza,1/2,45,1,90,2,180,ARVEJAS CONGELADAS COCIDAS,1/2 Taza,1 Taza,2 Taza,45,90,180
ARVEJAS ENLATADAS drenado.,Taza,1/2,100,1,200,1 1/2,300,ARVEJAS ENLATADAS drenado.,1/2 Taza,1 Taza,1 1/2 Taza,100,200,300
CAMOTE,Taza,1/2,60,1,120,1 1/2,180,CAMOTE,1/2 Taza,1 Taza,1 1/2 Taza,60,120,180
CASTAÑA CRUDA,Unidad,1,30,5,150,7,210,CASTAÑA CRUDA,1 Unidad,5 Unidad,7 Unidad,30,150,210
CHOCLO CRUDO,Taza,1/2,85,1,170,1 1/2,255,CHOCLO CRUDO,1/2 Taza,1 Taza,1 1/2 Taza,85,170,255
CHOCLO COCIDO,Taza,1/2,80,1,160,1 1/2,300,CHOCLO COCIDO,1/2 Taza,1 Taza,1 1/2 Taza,80,160,300
CHOCLO CONGELADO,Taza,1/2,80,1,160,1 1/2,240,CHOCLO CONGELADO,1/2 Taza,1 Taza,1 1/2 Taza,80,160,240
HABAS cocidas,Taza,1/2,75,1,150,1 1/2,225,HABAS cocidas,1/2 Taza,1 Taza,1 1/2 Taza,75,150,225
PAPA CRUDA,Unidad,1/2,75,1,150,2,300,PAPA CRUDA,1/2 Unidad,1 Unidad,2 Unidad,75,150,300
PAPA COCIDA,Unidad,1/2,100,1,200,2,400,PAPA COCIDA,1/2 Unidad,1 Unidad,2 Unidad,100,200,400
PIÑON,Taza,1/2,55,1,110,1 1/2,165,PIÑON,1/2 Taza,1 Taza,1 1/2 Taza,55,110,165
POROTOS GRANADOS,Taza,1/2,80,3/4,120,2,320,POROTOS GRANADOS,1/2 Taza,45385 Taza,2 Taza,80,120,320
SOJA,Taza,1/2,60,1,125,2,250,SOJA,1/2 Taza,1 Taza,2 Taza,60,125,250
ARVEJA SECA CRUDAS,Taza,1/2,55,1,110,2,220,ARVEJA SECA CRUDAS,1/2 Taza,1 Taza,2 Taza,55,110,220
"ARVEJA, HARINA CRUDA,Taza,1/2,55,1,110,2,220,""ARVEJA, HARINA CRUDA"",1/2 Taza,1 Taza,2 Taza,55,110,220"
"ARVEJA, HARINA PRECOCIDA,Taza,1/2,55,1,110,2,220,""ARVEJA, HARINA PRECOCIDA"",1/2 Taza,1 Taza,2 Taza,55,110,220"
